虎牙,#genre#

周星驰,http://auney.gearhostpreview.com/huya.php?id=11342412
林正英,http://auney.gearhostpreview.com/huya.php?id=11342421
成    龙,http://auney.gearhostpreview.com/huya.php?id=11342386
李连杰,http://auney.gearhostpreview.com/huya.php?id=11342390
五福星,http://auney.gearhostpreview.com/huya.php?id=11282233
甄子丹,http://auney.gearhostpreview.com/huya.php?id=11352935
周润发,http://auney.gearhostpreview.com/huya.php?id=11342387
洪金宝,http://auney.gearhostpreview.com/huya.php?id=11342427
刘德华,http://auney.gearhostpreview.com/huya.php?id=11342424
徐峥,http://auney.gearhostpreview.com/huya.php?id=11602043
沈腾,http://auney.gearhostpreview.com/huya.php?id=11601968
吴京,http://auney.gearhostpreview.com/huya.php?id=11602045
赌片,http://auney.gearhostpreview.com/huya.php?id=11342399
粤语,http://auney.gearhostpreview.com/huya.php?id=11352894
黑帮,http://auney.gearhostpreview.com/huya.php?id=11336719
漫威,http://auney.gearhostpreview.com/huya.php?id=11602075
惊悚,http://auney.gearhostpreview.com/huya.php?id=11342432
丧尸1,http://auney.gearhostpreview.com/huya.php?id=11352962
丧尸2,http://auney.gearhostpreview.com/huya.php?id=11342422
开心鬼,http://auney.gearhostpreview.com/huya.php?id=11342388
钢铁侠,http://auney.gearhostpreview.com/huya.php?id=11602034
科幻动作,http://auney.gearhostpreview.com/huya.php?id=11352964
国产喜剧,http://auney.gearhostpreview.com/huya.php?id=11602044
港产搞笑,http://auney.gearhostpreview.com/huya.php?id=11342423
卧底警匪,http://auney.gearhostpreview.com/huya.php?id=11352886
香港恐怖,http://auney.gearhostpreview.com/huya.php?id=11601960
变形金刚,http://auney.gearhostpreview.com/huya.php?id=11342433
最佳拍档,http://auney.gearhostpreview.com/huya.php?id=11342397
金庸电影,http://auney.gearhostpreview.com/huya.php?id=11352897
热血高校,http://auney.gearhostpreview.com/huya.php?id=11342402
许氏电影,http://auney.gearhostpreview.com/huya.php?id=11602033
盗墓系列,http://auney.gearhostpreview.com/huya.php?id=11352913
黑帮电影,http://auney.gearhostpreview.com/huya.php?id=11342419
史诗战争,http://auney.gearhostpreview.com/huya.php?id=11342435
灾难电影,http://auney.gearhostpreview.com/huya.php?id=11352871
异性怪物,http://auney.gearhostpreview.com/huya.php?id=11352938
机甲电影,http://auney.gearhostpreview.com/huya.php?id=11352876
猎奇电影,http://auney.gearhostpreview.com/huya.php?id=11601970
韩国电影,http://auney.gearhostpreview.com/huya.php?id=11352880
欧美特工,http://auney.gearhostpreview.com/huya.php?id=11602069
加勒比海盗,http://auney.gearhostpreview.com/huya.php?id=11602046
香港霸王花,http://auney.gearhostpreview.com/huya.php?id=11352909
历年贺岁档,http://auney.gearhostpreview.com/huya.php?id=11601986
终结者电影,http://auney.gearhostpreview.com/huya.php?id=11352979
速度与激情,http://auney.gearhostpreview.com/huya.php?id=11352949
杰森斯坦森,http://auney.gearhostpreview.com/huya.php?id=11336572
复仇者联盟,http://auney.gearhostpreview.com/huya.php?id=11602041
韩国犯罪动作,http://auney.gearhostpreview.com/huya.php?id=11601956
指环王,http://auney.gearhostpreview.com/huya.php?id=11352916
哈利波特,http://auney.gearhostpreview.com/huya.php?id=11352906
电锯惊魂,http://auney.gearhostpreview.com/huya.php?id=11342437
第一滴血,http://auney.gearhostpreview.com/huya.php?id=11352934
小丑电影,http://auney.gearhostpreview.com/huya.php?id=11352941
外国电影,http://auney.gearhostpreview.com/huya.php?id=11342428
游戏改编电影,http://auney.gearhostpreview.com/huya.php?id=10871113
奥斯卡提名,http://auney.gearhostpreview.com/huya.php?id=11352969
黑夜传说,http://auney.gearhostpreview.com/huya.php?id=11352881
爱情公寓,http://auney.gearhostpreview.com/huya.php?id=11336726
武林外传,http://auney.gearhostpreview.com/huya.php?id=11352915
插翅难逃,http://auney.gearhostpreview.com/huya.php?id=11352940
神探狄仁杰,http://auney.gearhostpreview.com/huya.php?id=11352958
家有儿女,http://auney.gearhostpreview.com/huya.php?id=11352872
少年包青天,http://auney.gearhostpreview.com/huya.php?id=11342393
好先生,http://auney.gearhostpreview.com/huya.php?id=11352973
火蓝刀锋,http://auney.gearhostpreview.com/huya.php?id=11336592
知否知否,http://auney.gearhostpreview.com/huya.php?id=11602068
士兵突击,http://auney.gearhostpreview.com/huya.php?id=11342430
搞笑一家人,http://auney.gearhostpreview.com/huya.php?id=11601978
少帅,http://auney.gearhostpreview.com/huya.php?id=11342414
生活大爆炸,http://auney.gearhostpreview.com/huya.php?id=11352959
卫国无敌,http://auney.gearhostpreview.com/huya.php?id=11336578
大宅门,http://auney.gearhostpreview.com/huya.php?id=11601982
鹿鼎记陈小春,http://auney.gearhostpreview.com/huya.php?id=11352910
炊事班的故事,http://auney.gearhostpreview.com/huya.php?id=11352895

斗鱼,#genre#

斗鱼1,http://dyscdnali1.douyucdn.cn/live/85894rmovieChow.flv?uuid=
斗鱼1,http://tx2play1.douyucdn.cn/85894rmovieChow_4000p.xs?uuid=
斗鱼1,http://tx2play1.douyucdn.cn/live/85894rmovieChow.flv
斗鱼1,http://tx2play1.douyucdn.cn/85894rmovieChow_4000p.xs?uuid=
斗鱼1,http://tx2play1.douyucdn.cn/live/85894rmovieChow_2000p.m3u8?uuid=
斗鱼2,http://dyscdnali1.douyucdn.cn/live/1504768rIizwk7Jz.flv?uuid=
斗鱼3,http://dyscdnali1.douyucdn.cn/live/3637778raLSXdOdu.flv?uuid=
斗鱼4,http://dyscdnali1.douyucdn.cn/live/122402rK7MO9bXSq.flv?uuid=
斗鱼4,http://tx2play1.douyucdn.cn/live/122402rK7MO9bXSq.m3u8
斗鱼5,http://dyscdnali1.douyucdn.cn/live/1409682rFVYVFnEN.flv?uuid=
斗鱼6,http://dyscdnali1.douyucdn.cn/live/52787rlKxxm8FSi5.flv?uuid=
斗鱼7,http://dyscdnali1.douyucdn.cn/live/252802reTJoPmUir.flv?uuid=
斗鱼7,http://tx2play1.douyucdn.cn/live/252802rbQGaZXUQi_4000p.flv
斗鱼7,http://tx2play1.douyucdn.cn/live/252802rbQGaZXUQi.flv
斗鱼⑧科幻,http://tx2play1.douyucdn.cn/live/20415rnWbjg6Ex1K.flv
斗鱼⑧科幻,http://tx2play1.douyucdn.cn/live/20415rnWbjg6Ex1K.m3u8

斗鱼电视1,http://dyscdnali1.douyucdn.cn/live/4549169rv4OKGN7X.flv?uuid=
斗鱼电视2,http://dyscdnali1.douyucdn.cn/live/338759rVVY6JMrOB.flv?uuid=
埋堆堆1,http://121.12.115.156/tx.hls.huya.com/src/1199561158071-1199561158071-5434346901866545152-2399122439598-10057-A-0-1.m3u8
埋堆堆2,http://121.12.115.156/tx.hls.huya.com/src/1199561181026-1199561181026-5434445492840824832-2399122485508-10057-A-0-1.m3u8
埋堆堆3,http://121.12.115.156/tx.hls.huya.com/src/1199563488528-1199563488528-5444356138466279424-2399127100512-10057-A-0-1.m3u8
埋堆堆4,http://121.12.115.156/tx.hls.huya.com/src/1199561241049-1199561241049-5434703289662832640-2399122605554-10057-A-0-1.m3u8
