斗鱼①,#genre#

斗鱼0,http://dyscdnali1.douyucdn.cn/live/310926rxaVCymr5Z.flv?uuid=
斗鱼1,http://dyscdnali1.douyucdn.cn/live/85894rmovieChow.flv?uuid=
斗鱼1,http://tx2play1.douyucdn.cn/85894rmovieChow_4000p.xs?uuid=
斗鱼1,http://tx2play1.douyucdn.cn/live/85894rmovieChow.flv
斗鱼1,http://tx2play1.douyucdn.cn/85894rmovieChow_4000p.xs?uuid=
斗鱼1,http://tx2play1.douyucdn.cn/live/85894rmovieChow_2000p.m3u8?uuid=
斗鱼2,http://dyscdnali1.douyucdn.cn/live/1504768rIizwk7Jz.flv?uuid=
斗鱼3,http://dyscdnali1.douyucdn.cn/live/3637778raLSXdOdu.flv?uuid=
斗鱼4,http://dyscdnali1.douyucdn.cn/live/122402rK7MO9bXSq.flv?uuid=
斗鱼4,http://tx2play1.douyucdn.cn/live/122402rK7MO9bXSq.m3u8
斗鱼5,http://dyscdnali1.douyucdn.cn/live/1409682rFVYVFnEN.flv?uuid=
斗鱼6,http://dyscdnali1.douyucdn.cn/live/52787rlKxxm8FSi5.flv?uuid=
斗鱼7,http://dyscdnali1.douyucdn.cn/live/252802reTJoPmUir.flv?uuid=
斗鱼7,http://tx2play1.douyucdn.cn/live/252802rbQGaZXUQi_4000p.flv
斗鱼7,http://tx2play1.douyucdn.cn/live/252802rbQGaZXUQi.flv
斗鱼⑧科幻,http://tx2play1.douyucdn.cn/live/20415rnWbjg6Ex1K.flv
斗鱼⑧科幻,http://tx2play1.douyucdn.cn/live/20415rnWbjg6Ex1K.m3u8

斗鱼电视1,http://dyscdnali1.douyucdn.cn/live/4549169rv4OKGN7X.flv?uuid=
斗鱼电视2,http://dyscdnali1.douyucdn.cn/live/338759rVVY6JMrOB.flv?uuid=
埋堆堆1,http://121.12.115.156/tx.hls.huya.com/src/1199561158071-1199561158071-5434346901866545152-2399122439598-10057-A-0-1.m3u8
埋堆堆2,http://121.12.115.156/tx.hls.huya.com/src/1199561181026-1199561181026-5434445492840824832-2399122485508-10057-A-0-1.m3u8
埋堆堆3,http://121.12.115.156/tx.hls.huya.com/src/1199563488528-1199563488528-5444356138466279424-2399127100512-10057-A-0-1.m3u8
埋堆堆4,http://121.12.115.156/tx.hls.huya.com/src/1199561241049-1199561241049-5434703289662832640-2399122605554-10057-A-0-1.m3u8
埋堆堆5,http://121.12.115.156/tx.hls.huya.com/huyalive/1199563564801-1199563564801-5444683728506847232-2399127253058-10057-A-0-1.m3u8
埋堆堆6,http://121.12.115.156/tx.hls.huya.com/huyalive/1199561177177-1199561177177-5434428961511702528-2399122477810-10057-A-0-1.m3u8
埋堆堆7,http://121.12.115.156/tx.hls.huya.com/src/1199561182641-1199561182641-5434452429213007872-2399122488738-10057-A-0-1.m3u8
埋堆堆8,http://121.12.115.156/tx.hls.huya.com/huyalive/1199561153167-1199561153167-5434325839346925568-2399122429790-10057-A-0-1.m3u8
埋堆堆9,http://121.12.115.156/tx.hls.huya.com/huyalive/1199563479466-1199563479466-5444317217472643072-2399127082388-10057-A-0-1.m3u8
埋堆堆10,http://121.12.115.156/tx.hls.huya.com/huyalive/1199561462555-1199561462555-5435654650688700416-2399123048566-10057-A-0-1.m3u8
埋堆堆11,http://121.12.115.156/tx.hls.huya.com/huyalive/1199561176260-1199561176260-5434425023026692096-2399122475976-10057-A-0-1.m3u8



斗鱼②,#genre#

吃米滴虫,http://tx2play1.douyucdn.cn/live/315457r18ZXdyKZ6.xs#http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=315457
吃奶滴虫,http://tx2play1.douyucdn.cn/live/263824rKBPFfhAuA.xs#http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=263824
经典港片1,http://tx2play1.douyucdn.cn/85894rmovieChow.xs#http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=85894
经典港片2,http://tx2play1.douyucdn.cn/122402rK7MO9bXSq.xs#http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=122402
经典港片3,http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=5033502
看欧美剧,http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=8869614
蓝光高清,http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=7473576
蓝光影视,http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb05.php?id=hls
精彩影院,http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=9388931
网红笑场,http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=9348469
邵氏电影,http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=4246519
牛叔解说,http://tx2play1.douyucdn.cn/live/2758565rJJRPOZig.xs#http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=2758565
高分经典,http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=6079455
经典大片,http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=2793084
功夫巨作,http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=3637765
新三国斗鱼,http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb11.php?id=276200
水浒传,http://tx2play1.douyucdn.cn/live/6785471rA1Vuxuj6.xs#http://tyzb2021.chxjon.cn/iptv-cdn/公众号=太阳资讯/tyzb05.php?id=shz
新三国虎牙,http://121.12.115.156/tx.hls.huya.com/src/1423787831-1423787831-6115122170587774976-2847699118-10057-A-0-1-imgplus.m3u8#http://api.luyetv.com:6006/huyaid=11352944
神探狄仁杰,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100179816/75/index.m3u8?ProgramID=&encrypt=
科幻梦工厂,http://121.12.115.156/tx.hls.huya.com/src/94525224-2682536056-11521404630860824576-3512313440-10057-A-0-1-imgplus.m3u8

科幻动作,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/626193/live_252582133_1552126.m3u8
动作片,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/904836/live_400392_6822511.m3u8
老电影,https://cn-jxnc-cmcc-live-02.bilivideo.com/live-bvc/817178/live_97065163_17925468.m3u8
老电影,https://cn-hnzz-cmcc-live-01.bilivideo.com/live-bvc/817178/live_97065163_17925468.m3u8


电影,#genre#
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
科幻怪兽,http://hpull.kktv8.com/livekktv/143960119/playlist.m3u8
天映频道,http://185.180.221.194:8278/streams/d/Celestial/playlist.m3u8
天映经典,http://50.7.161.82:8278/streams/d/Celestial2/playlist.m3u8
高清电影1,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226736/1.m3u8
高清电影2,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225881/1.m3u8
高清电影3,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226708/1.m3u8
高清电影4,http://39.135.53.194/ott.fj.chinamobile.com/PLTV/88888888/224/3221226712/index.m3u8
邵氏老电影,https://cn-jxnc-cmcc-live-02.bilivideo.com/live-bvc/817178/live_97065163_17925468.m3u8
邵氏老电影,https://cn-hnzz-cmcc-live-01.bilivideo.com/live-bvc/817178/live_97065163_17925468.m3u8
经典功夫,http://42.56.91.136/live-bvc/227064/live_179302204_68184269_1500.m3u8
经典电影,http://111.6.242.36/txpcdn.liveplay.egame.qq.com/live/3954_792423235.m3u8
3D   电影,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230386/index.m3u8
金庸频道,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100181876/150/index.m3u8?&encrypt=
经典频道,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100179383/150/index.m3u8?&encrypt=
经典贺岁,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100181836/150/index.m3u8?&encrypt=
精品网剧,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r1/virtuallive/5101000751/150/index.m3u8?&encrypt=
深夜剧场,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100181674/150/index.m3u8?&encrypt=
武侠剧场,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r1/virtuallive/5101000755/150/index.m3u8?&encrypt=
新片放映,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd-virtuallive5100030975-75/index.m3u8?&encrypt=
国际剧场,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100179386/150/index.m3u8?&encrypt=
假期剧场,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r1/virtuallive/5101000747/150/index.m3u8?&encrypt=
少林剧场,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100179213/75/index.m3u8?&encrypt=
黄金剧场,http://39.134.216.5/live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100172024/150/index.m3u8?&encrypt=
CHC动作电影,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC动作电影,http://39.134.18.68/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC动作电影,http://39.134.18.69:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8?icpid=88888888&from=1&ocs=2_39.134.18.69_80&hms_devid=7855&vqe=3
CHC动作电影,http://39.134.18.68/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8

CHC高清电影,http://39.134.18.65:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8?icpid=88888888&from=1&ocs=2_39.134.18.65_80&hms_devid=7854&vqe=3
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
